id	target	response	HumanPartialFinal	question
1002	Functions to extend the lower leg at the knee	functions to extend the lower leg to the knee	0.5	The Quadriceps Muscles
1003	Is stimulated by the inferior gluteal nerve	Stimulated by the inferior gluteal nerve	1	The Gluteus Maximus Muscle
1004	Functions to extend the lower leg at the knee	Function to extend the upper leg to the knee	0	The Quadriceps Muscles
1005	Is stimulated by the inferior gluteal nerve	Stimulated by the inferior gluteal nerves	1	The Gluteus Maximus Muscle
1006	Functions to extend the lower leg at the knee	Functions to extend the lower leg and the knee	0.5	The Quadriceps Muscles
1007	Functions to extend the lower arm at the elbow	to extend the lower arm at the elbow	1	The Triceps Muscle
1008	Is stimulated by the median and ulnar nerves	stimulated by the median and ulnar nerves	1	The Digital Flexor Muscles
1009	Functions to extend the lower arm at the elbow	flexes the forearm away from the upper arm at the elbow	1	The Triceps Muscle
1010	Is stimulated by the median and ulnar nerves	stimulates the medial and ulnar nerves	0.5	The Digital Flexor Muscles
1011	Functions to extend the lower arm at the elbow	to fles the forearm away from the upper arm at the elbow	1	The Triceps Muscle
1012	Is stimulated by the median and ulnar nerves	stimulates the medial and ulnar nerves	0.5	The Digital Flexor Muscles
1013	Is stimulated by the inferior gluteal nerve	stimulates the inferior gluteal nerve	0.5	The Gluteus Maximus Muscle
1014	Functions to extend the lower leg at the knee	functions to extend the leg at the knee	1	The Quadriceps Muscles
1015	Is stimulated by the inferior gluteal nerve	stimulates the inferior gluteal nerve	0.5	The Gluteus Maximus Muscle
1016	Functions to extend the lower leg at the knee	extends leg at the knee	0.5	The Quadriceps Muscles
1017	Is stimulated by the inferior gluteal nerve	stimulates inferior gluteal nerve	0.5	The Gluteus Maximus Muscle
1018	Functions to extend the lower leg at the knee	extend leg at the knee	0.5	The Quadriceps Muscles
1019	Functions to extend the lower arm at the elbow	help to move arm at the elbow 	0.5	The Triceps Muscle
1020	Is stimulated by the median and ulnar nerves	stimulated by the dibia and ullum nerve	0	The Digital Flexor Muscles
1021	Functions to extend the lower arm at the elbow	functions to extend the arm at the elbow	0.5	The Triceps Muscle
1022	Is stimulated by the median and ulnar nerves	stimulated by the ullum and dubia nerves	0	The Digital Flexor Muscles
1023	Functions to extend the lower arm at the elbow	functions to extend the arm at the elbow	0.5	The Triceps Muscle
1024	Is stimulated by the median and ulnar nerves	stimulated by the dubial and ullum nerves	0	The Digital Flexor Muscles
1025	Functions to extend the lower arm at the elbow	functions to extend the arm at the elbow	0.5	The Triceps Muscle
1026	Is stimulated by the inferior gluteal nerve	stimulated by the inferior gluteal nerve	1	The Gluteus Maximus Muscle
1027	Functions to extend the lower leg at the knee	functions to extend the lower leg at the knee	1	The Quadriceps Muscles
1028	Is stimulated by the inferior gluteal nerve	stimulated by the inferior gluteal nerve	1	The Gluteus Maximus Muscle
1029	Functions to extend the lower leg at the knee	functions to extend the lower leg at the knee	1	The Quadriceps Muscles
1030	Is stimulated by the inferior gluteal nerve	stimulated by the inferior gluteal nerve	1	The Gluteus Maximus Muscle
1031	Functions to extend the lower leg at the knee	functions to extend the lower leg at the knee	1	The Quadriceps Muscles
1032	Functions to extend the lower arm at the elbow	to extent or retract the arm	0.5	The Triceps Muscle
1033	Is stimulated by the median and ulnar nerves	is activated by the mid and upper ulna reflex	0	The Digital Flexor Muscles
1034	Functions to extend the lower arm at the elbow	to extend and retract the upper and lower part of the arm	0.5	The Triceps Muscle
1035	Is stimulated by the median and ulnar nerves	is activated by the by the ular muscle	0	The Digital Flexor Muscles
1036	Functions to extend the lower arm at the elbow	to extend and retract the mid and upper arm	0	The Triceps Muscle
1037	Is stimulated by the median and ulnar nerves	"The digital flexor muscle is stimulated by a complex chain of fibers, known as the mulnar and middle reflex"	0	The Digital Flexor Muscles
1038	Functions to extend the lower arm at the elbow	to extend the mid and upper arm	0	The Triceps Muscle
1039	Is stimulated by the median and ulnar nerves	is stimulated by the median and ulnar nerve	1	The Digital Flexor Muscles
1040	Is stimulated by the median and ulnar nerves	is stimulated by the axilliary reflex	0	The Digital Flexor Muscles
1041	Is stimulated by the median and ulnar nerves	is STIMULATED by the MEDIAN and ULNAR REFLEX	0.5	The Digital Flexor Muscles
1042	Is stimulated by the inferior gluteal nerve	is STIMULATED by the GLUETIAN NERVE	0.5	The Gluteus Maximus Muscle
1043	Functions to extend the lower leg at the knee	to EXTENT the LOWER LEG from the KNEE CAP	1	The Quadriceps Muscles
1044	Is stimulated by the inferior gluteal nerve	is STIMULATED by the inferior gluetial nerve	1	The Gluteus Maximus Muscle
1045	Functions to extend the lower leg at the knee	is to extend the thigh from the knee cap	0	The Quadriceps Muscles
1046	Is stimulated by the inferior gluteal nerve	is stimulated by the inferior glutial nerve	1	The Gluteus Maximus Muscle
1047	Functions to extend the lower leg at the knee	is to extend the thigh from the knee	0	The Quadriceps Muscles
1048	Is stimulated by the inferior gluteal nerve	is stimulated by the inferior glutial nerve	1	The Gluteus Maximus Muscle
1049	Functions to extend the lower arm at the elbow	extend forearm	0.5	The Triceps Muscle
1050	Is stimulated by the median and ulnar nerves	empty	0	The Digital Flexor Muscles
1051	Functions to extend the lower arm at the elbow	connects lower arm to upper arm at the elbow	0	The Triceps Muscle
1052	Is stimulated by the median and ulnar nerves	stimulated by medial nerve	0	The Digital Flexor Muscles
1053	Functions to extend the lower arm at the elbow	connects the upper arm to the lower arm at the elbow	0	The Triceps Muscle
1054	Is stimulated by the median and ulnar nerves	medial nerve	0	The Digital Flexor Muscles
1055	Functions to extend the lower arm at the elbow	connects bone in upper arm to bone in lower arm	0	The Triceps Muscle
1056	Is stimulated by the median and ulnar nerves	medial nerve	0	The Digital Flexor Muscles
1057	Is stimulated by the inferior gluteal nerve	gluteus nerve	0	The Gluteus Maximus Muscle
1058	Functions to extend the lower leg at the knee	empty	0	The Quadriceps Muscles
1059	Is stimulated by the inferior gluteal nerve	stimulated by the inferior gluteus nerve	1	The Gluteus Maximus Muscle
1060	Functions to extend the lower leg at the knee	to extend the lower leg at the knee	1	The Quadriceps Muscles
1061	Is stimulated by the inferior gluteal nerve	empty	0	The Gluteus Maximus Muscle
1062	Functions to extend the lower leg at the knee	empty	0	The Quadriceps Muscles
1063	Is stimulated by the inferior gluteal nerve	empty	0	The Gluteus Maximus Muscle
1064	Functions to extend the lower leg at the knee	empty	0	The Quadriceps Muscles
1065	Functions to extend the lower arm at the elbow	able to move lower section of the arm	0.5	The Triceps Muscle
1066	Is stimulated by the median and ulnar nerves	empty	0	The Digital Flexor Muscles
1067	Functions to extend the lower arm at the elbow	connects the upper arm to a bone in the lower arm	0	The Triceps Muscle
1068	Is stimulated by the median and ulnar nerves	connects the median to the ulnar	0	The Digital Flexor Muscles
1069	Functions to extend the lower arm at the elbow	connects the upper arm to a bone in the lower arm	0	The Triceps Muscle
1070	Is stimulated by the median and ulnar nerves	stimulates the median and ulnar nerves	0.5	The Digital Flexor Muscles
1071	Functions to extend the lower arm at the elbow	functions to extend the lower arm at the elbow	1	The Triceps Muscle
1072	Is stimulated by the median and ulnar nerves	stimulated by the median and ulnar nerves	1	The Digital Flexor Muscles
1073	Functions to extend the lower arm at the elbow	functions to extend the lower arm at the elbow	1	The Triceps Muscle
1074	Is stimulated by the median and ulnar nerves	stimulates the median and ulnar nerves	0.5	The Digital Flexor Muscles
1075	Functions to extend the lower arm at the elbow	functions to extend the lower arm at the elbow	1	The Triceps Muscle
1076	Is stimulated by the inferior gluteal nerve	stimulated by the inferior gluteal nerve	1	The Gluteus Maximus Muscle
1077	Functions to extend the lower leg at the knee	functions to extend the upper leg	0	The Quadriceps Muscles
1078	Is stimulated by the inferior gluteal nerve	stimulated by the inferior gluteal nerve	1	The Gluteus Maximus Muscle
1079	Functions to extend the lower leg at the knee	functions to connect the upper leg with the kneecap and a bone of the lower leg	0	The Quadriceps Muscles
1080	Is stimulated by the inferior gluteal nerve	stimulated by inferior gluteal nerve	1	The Gluteus Maximus Muscle
1081	Functions to extend the lower leg at the knee	functions to extend the upper leg at the knee	0	The Quadriceps Muscles
1082	Functions to extend the lower leg at the knee	functions to extend upper leg at the knee	0	The Quadriceps Muscles
1083	Functions to extend the lower leg at the knee	functions to extend the lower leg at the knee	1	The Quadriceps Muscles
1084	Functions to extend the lower arm at the elbow	extend arm at the elbow	0.5	The Triceps Muscle
1085	Is stimulated by the median and ulnar nerves	ulnar and median nerve	0.5	The Digital Flexor Muscles
1086	Functions to extend the lower arm at the elbow	used to extend lower arm at the elbow	1	The Triceps Muscle
1087	Is stimulated by the median and ulnar nerves	stimulated by ulnar and medial nerve	1	The Digital Flexor Muscles
1088	Functions to extend the lower arm at the elbow	used to extend lower arm at the elbow	1	The Triceps Muscle
1089	Is stimulated by the median and ulnar nerves	stimulated by ulnar and medial nerve	1	The Digital Flexor Muscles
1090	Is stimulated by the inferior gluteal nerve	stimulated by inferior gluteal nerve	1	The Gluteus Maximus Muscle
1091	Functions to extend the lower leg at the knee	functions to extend the lower leg at the knee	1	The Quadriceps Muscles
1092	Is stimulated by the inferior gluteal nerve	stimulated by inferior gluteal nerve	1	The Gluteus Maximus Muscle
1093	Functions to extend the lower leg at the knee	functions to extend the lower leg at the knee	1	The Quadriceps Muscles
1094	Is stimulated by the inferior gluteal nerve	stimulated by inferior gluteal nerve	1	The Gluteus Maximus Muscle
1095	Functions to extend the lower leg at the knee	functions to extend the lower leg at the knee	1	The Quadriceps Muscles
1096	Functions to extend the lower arm at the elbow	to extend the lower part of the arm away from the upper part of the arm	0.5	The Triceps Muscle
1097	Is stimulated by the median and ulnar nerves	stimulation of the ulnar nerve	0.5	The Digital Flexor Muscles
1098	Functions to extend the lower arm at the elbow	to extend the lower part of the arm away from the body	0.5	The Triceps Muscle
1099	Is stimulated by the median and ulnar nerves	stimulated by the ulnar nerve	0.5	The Digital Flexor Muscles
1100	Functions to extend the lower arm at the elbow	to move the lower part of the arm away from the body	0.5	The Triceps Muscle
1101	Is stimulated by the median and ulnar nerves	stimulated by the ulnar nerve	0.5	The Digital Flexor Muscles
1102	Is stimulated by the inferior gluteal nerve	stimulated by the inferior glutieal nerve	1	The Gluteus Maximus Muscle
1103	Functions to extend the lower leg at the knee	to extend the leg away from the body at the knee	0.5	The Quadriceps Muscles
1104	Is stimulated by the inferior gluteal nerve	stimulated by the inferior glutial nerve	1	The Gluteus Maximus Muscle
1105	Functions to extend the lower leg at the knee	to extend the leg at the knee	0.5	The Quadriceps Muscles
1106	Is stimulated by the inferior gluteal nerve	stimulated by the inferior glutial nerve	1	The Gluteus Maximus Muscle
1107	Functions to extend the lower leg at the knee	to extend the leg at the knee	0.5	The Quadriceps Muscles
1108	Functions to extend the lower arm at the elbow	Moves the lower arm	0	The Triceps Muscle
1109	Is stimulated by the median and ulnar nerves	Stimulated by the ulnar and radial nerves	0.5	The Digital Flexor Muscles
1110	Functions to extend the lower arm at the elbow	Extends the lower arm at the elbow	1	The Triceps Muscle
1111	Is stimulated by the median and ulnar nerves	Stimulated by the ulnar and radial nerves	0.5	The Digital Flexor Muscles
1112	Functions to extend the lower arm at the elbow	Extends the lower arm at the elbow	1	The Triceps Muscle
